#{"t_start": 1644413010.7135012, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-687.306854,80,7.624552
-242.043382,94,7.673354
-345.242351,165,8.399561
-124.497221,85,8.654206
-400.009585,61,8.724769
-403.982662,78,9.005012
-645.599543,74,9.274232
-157.813504,63,9.315897
-722.739557,82,9.59209
-464.444869,85,9.911531
-508.348406,71,10.156156
-715.092273,77,10.470254
-295.54375,51,10.508005
-558.202101,66,10.843077
-709.953799,83,11.080533
-121.950273,60,11.11083
-454.794382,63,11.343933
-150.353097,70,11.603843
-155.679392,60,11.663173
-51.800937,68,11.898852
-473.704267,88,12.130947
-303.877917,65,12.169342
-349.088728,54,12.381138
-210.17487,57,12.412172
-192.174451,90,12.737049
-148.456019,65,12.941998
-141.32001,55,13.173541
-126.202238,80,13.220025
-154.607924,74,13.455818
-124.807191,70,13.744807
-140.524296,57,13.775602
-126.657643,58,13.98578
-168.522674,65,14.205386
-122.484484,80,14.244308
-118.426937,56,14.460495
-165.400404,67,14.784279
-194.726532,86,15.009005
-225.424648,82,15.048593
-130.423307,58,15.256353
-182.602452,71,15.463898
-207.057355,63,15.496119
-173.695493,65,15.830441
-208.460684,88,16.057527
-141.984035,67,16.090688
-107.622268,81,16.313043
-118.389784,53,16.521987
-110.764274,56,16.554576
-127.401157,62,16.831566
-162.10936,63,17.036268
-203.305863,86,17.079975
-160.457025,60,17.287045
-161.997757,76,17.528599
-277.914458,80,17.894912
-115.690767,88,18.119601
-145.359959,52,18.146953
-23.533423,57,18.412023
-287.721427,93,18.721484
-87.00538,53,18.752549
-153.928603,75,18.96996
-132.285937,59,19.000418
-146.20379,73,19.222277
-120.892444,61,19.443273
-120.179193,66,19.476733
-141.111265,60,19.786135
-104.589993,62,20.031716
-118.326857,77,20.076504
-107.618482,84,20.309737
-140.458553,85,20.538157
-119.343249,79,20.846924
-217.362294,72,21.11267
-133.845215,54,21.141297
-85.860619,63,21.356502
-140.767143,78,21.594905
-153.983638,68,21.640485
-173.166795,72,21.915142
-127.435676,85,22.147321
-48.236933,65,22.185797
-128.526528,67,22.410486
-141.628837,67,22.714726
-186.955039,91,23.022082
-128.407471,57,23.05821
-148.772356,76,23.291724
-139.026541,68,23.52818
-127.472893,63,23.577197
-123.139875,82,23.933033
-87.293278,52,24.150563
-161.997033,76,24.191932
-149.205762,77,24.428972
-114.068378,68,24.832813
-112.775041,89,25.110474
-115.825642,64,25.145885
-127.831612,56,25.378878
-132.631015,56,25.675109
-103.579311,52,25.724447
-148.189102,60,25.973062
-157.519148,64,26.008944
-8.764554,75,26.247585
-137.239531,50,26.465826
-121.510018,66,26.503381
-110.393386,65,26.853665
-108.415601,91,27.086353
-136.529533,73,27.126081
-135.436987,78,27.350987
-117.955888,67,27.585416
-112.790821,82,27.888647
-114.824022,66,27.924487
-92.528584,53,28.135096
-96.429244,63,28.35777
-121.628359,67,28.393463
-144.914321,86,28.678867
-145.494521,91,28.95457
-115.577517,90,29.185686
-126.887657,69,29.432239
-105.82555,55,29.461751
-161.950177,72,29.753144
-117.26288,54,29.785453
-56.872724,83,30.011607
-110.812466,64,30.235018
-163.235687,93,30.471575
-157.303228,80,30.800846
-131.4519,75,30.842989
-204.73778,68,31.062681
-138.933996,85,31.287818
-124.639827,69,31.51057
-101.610039,52,31.536671
-82.829123,102,31.873258
-119.59547,63,32.116861
-144.942632,75,32.337522
-155.361782,76,32.37646
-121.183981,77,32.624892
-128.700779,91,32.896755
-152.328741,78,33.12469
-134.259766,76,33.164326
-147.689682,85,33.393649
-124.989343,67,33.661191
-164.726872,70,33.917187
-177.027028,83,34.146449
-136.224084,60,34.178389
-127.088881,70,34.390954
-142.097596,70,34.774668
-120.39593,132,35.056194
-116.076175,58,35.085857
-158.899019,77,35.309291
-96.480935,52,35.516035
-113.593861,83,35.852881
-64.980683,92,35.910779
-142.734335,67,36.136031
-124.752898,73,36.367864
-108.875838,52,36.394789
-111.006718,78,36.675541
-91.142336,52,36.915341
-114.03861,58,36.944412
-119.460569,56,37.165596
-134.831193,71,37.409454
-138.970897,75,37.4508
-184.725064,138,37.972997
-79.662265,101,38.220147
-119.849251,84,38.439706
-78.325265,83,38.480242
-58.434242,184,39.095029
-115.755923,63,39.314888
-112.671978,65,39.350592
-84.862114,55,39.560283
-70.050421,52,39.863556
-59.731944,67,39.903754
-122.975133,107,40.177548
-133.928985,73,40.400098
-109.467414,92,40.682139
-93.072156,55,40.71644
-105.967324,103,41.163561
-114.97239,64,41.198939
-65.704675,92,41.445547
-137.765843,70,41.736269
-90.49718,95,41.987259
-98.31083,84,42.226606
-88.349981,59,42.258457
-64.780293,55,42.465393
-124.530392,85,42.836948
-111.632436,85,42.88525
-114.108369,91,43.12374
-129.214006,70,43.343498
-92.546542,67,43.563997
-108.105965,139,43.942805
-36.644513,124,44.206729
-110.754505,72,44.436146
-94.346835,67,44.743008
-47.887017,171,45.058682
-106.627083,65,45.275556
-92.54478,69,45.519255
-73.406005,397,46.907419
-340.11001,270,47.522193
-61.558185,117,48.044357
-116.337961,158,48.324811
-122.843752,180,48.911515
-124.308344,301,49.878623
-157.939425,160,50.357336
-108.336524,202,50.94902
-85.187759,121,51.197987
-75.990566,129,51.476364
-20.078246,188,52.09099
-103.288848,77,52.321891
-63.050113,164,52.645967
-58.593387,141,53.159505
-52.448669,176,53.740328
-161.939224,444,55.088078
-302.386304,571,57.384663
-94.609664,95,57.634458
-537.864758,311,58.592461
